2024-12-01 19:41:57.414 +07:00 [WRN] Failed to determine the https port for redirect.
2024-12-01 19:42:17.001 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 19483.4985 ms
2024-12-01 19:42:28.827 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 1348.6895 ms
2024-12-01 19:42:37.369 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 1607.6980 ms
2024-12-01 19:43:36.159 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 35191.7271 ms
2024-12-01 19:45:14.543 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 2864.1562 ms
2024-12-01 19:45:34.579 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 2742.1690 ms
2024-12-01 19:45:44.274 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 2577.2938 ms
2024-12-01 19:45:52.460 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 1324.0979 ms
2024-12-01 19:46:00.967 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 1462.0891 ms
2024-12-01 19:46:31.091 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 24503.1155 ms
2024-12-01 19:46:39.677 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 1436.5532 ms
2024-12-01 19:46:52.566 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 5616.0345 ms
2024-12-01 19:48:51.947 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 204.0933 ms
2024-12-01 19:48:55.241 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.1389 ms
2024-12-01 19:48:57.776 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.9675 ms
2024-12-01 19:48:58.283 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 5.7974 ms
2024-12-01 19:48:58.478 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.8709 ms
2024-12-01 19:48:58.648 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.4589 ms
2024-12-01 19:48:58.822 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.6277 ms
2024-12-01 19:48:58.991 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.4701 ms
2024-12-01 19:48:59.157 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.4356 ms
2024-12-01 19:48:59.746 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.6229 ms
2024-12-01 19:49:02.183 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.0033 ms
2024-12-01 19:49:02.652 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.7287 ms
2024-12-01 19:49:03.070 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.2879 ms
2024-12-01 19:51:09.775 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 100.3471 ms
2024-12-01 19:51:12.708 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.5398 ms
2024-12-01 19:51:16.657 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.3022 ms
2024-12-01 19:51:17.247 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.1866 ms
2024-12-01 19:51:17.646 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 5.2604 ms
2024-12-01 19:51:17.845 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.4015 ms
2024-12-01 19:51:18.015 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.7894 ms
2024-12-01 19:51:18.189 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.1040 ms
2024-12-01 19:51:18.378 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 5.1445 ms
2024-12-01 19:51:18.533 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.9026 ms
2024-12-01 19:51:18.713 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.2705 ms
2024-12-01 19:51:18.901 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.2361 ms
2024-12-01 19:51:19.069 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.1021 ms
2024-12-01 19:51:19.238 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.4732 ms
2024-12-01 19:51:19.428 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.7512 ms
2024-12-01 19:51:19.601 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 6.3501 ms
2024-12-01 19:51:19.772 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.3400 ms
2024-12-01 19:51:19.939 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.5780 ms
2024-12-01 19:51:20.133 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.3318 ms
2024-12-01 19:51:20.316 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.4222 ms
2024-12-01 19:51:20.490 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.1962 ms
2024-12-01 19:51:20.671 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.0915 ms
2024-12-01 19:51:20.834 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.5033 ms
2024-12-01 19:51:21.009 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.3714 ms
2024-12-01 19:51:21.178 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.3559 ms
2024-12-01 19:51:21.353 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.2119 ms
2024-12-01 19:51:21.530 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.8214 ms
2024-12-01 19:51:21.708 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.3554 ms
2024-12-01 19:51:21.889 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.0941 ms
2024-12-01 19:51:22.057 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 2.7686 ms
